post_id,post_user_id,title,subtitle,body,picture_url,picture_description,created_at,updated_at
5,1,"Pierwszy grubas","Post pierwszego grubasa","Rok rozpoczął się od wagi na poziomie 97 kg, po ciężkich świętach i Sylwestrze. Mocne postanowienie poprawy i ostra walka od samego początku. Do standardowych basenu w czwartek i piłki w piątek dokładam ćwiczenia z aplikacją keep (poziom dla grubasów ale od czegoś trzeba zacząć). 
Ostra dieta opierająca się na kilku założeniach. W tygodniu malutkie śniadanko, kefir o dziesiątej w pracy parę minut po dwunastej zupka, o czternastej warzywa. Po powrocie do domu obiad i ... na tym koniec, ewentualnie jakiś owoc lub warzywo wieczorem. W weekend mniejsza ilość pieczywa i delikatne kolacje. No i unikać alkoholu. Za wszelką cenę.",/gruby/pierwszy.jpg,"tak to było w pierwszą niedzielę 4 stycznia 2020","2020-01-14 18:44:51","2020-01-15 19:17:37"
6,1,"Pierwszy tydzień","Wielki sukces aplikacji.","Wszystkie założenia pierwszego tygodnia spełnione. Waga spadła o dwa kilo do 95. Aplikacja keep okazała się strzałem w dziesiątkę. Do programu dokładam niekiedy dodatkowe ćwiczenia. Nie odpuszczam nawet przed basenem. Po tygodniu ćwiczeń na piłce już było czuć różnicę. Super sprawa, nadal odczuwam mocną chęć schudnięcia i mam motywację do walki.",/gruby/drugi.jpg,"Waga 95 kg, niedziela 12.01.2020","2020-01-15 19:22:39","2020-01-15 19:22:39"
